ideGeracaoDistribuida,nomGeracaoDistribuida,sigGeracaoDistribuida,qtdUsina,mdaPotenciaInstaladakW,mesReferencia,anoReferencia,dthProcessamento
1,Central Geradora Eolielétrica,EOL,0,0.00,12,2008,24/07/2019 00:00:00
2,Central Geradora Eolielétrica,EOL,0,0.00,12,2011,24/07/2019 00:00:00
3,Central Geradora Eolielétrica,EOL,0,0.00,12,2012,24/07/2019 00:00:00
4,Central Geradora Eolielétrica,EOL,3,12.00,12,2013,24/07/2019 00:00:00
5,Central Geradora Eolielétrica,EOL,1,3.50,12,2014,24/07/2019 00:00:00
6,Central Geradora Eolielétrica,EOL,2,6.30,12,2015,24/07/2019 00:00:00
7,Central Geradora Eolielétrica,EOL,3,5005.00,12,2016,24/07/2019 00:00:00
8,Central Geradora Eolielétrica,EOL,0,0.00,12,2017,24/07/2019 00:00:00
9,Central Geradora Eolielétrica,EOL,0,0.00,12,2018,24/07/2019 00:00:00
10,Central Geradora Eolielétrica,EOL,0,0.00,3,2010,24/07/2019 00:00:00
11,Central Geradora Eolielétrica,EOL,0,0.00,3,2012,24/07/2019 00:00:00
12,Central Geradora Eolielétrica,EOL,0,0.00,3,2013,24/07/2019 00:00:00
13,Central Geradora Eolielétrica,EOL,5,28.10,3,2014,24/07/2019 00:00:00
14,Central Geradora Eolielétrica,EOL,6,21.90,3,2015,24/07/2019 00:00:00
15,Central Geradora Eolielétrica,EOL,1,3.50,3,2016,24/07/2019 00:00:00
16,Central Geradora Eolielétrica,EOL,3,5003.40,3,2017,24/07/2019 00:00:00
17,Central Geradora Eolielétrica,EOL,1,20.00,3,2018,24/07/2019 00:00:00
18,Central Geradora Eolielétrica,EOL,0,0.00,3,2019,24/07/2019 00:00:00
19,Central Geradora Eolielétrica,EOL,0,0.00,6,2007,24/07/2019 00:00:00
20,Central Geradora Eolielétrica,EOL,0,0.00,6,2009,24/07/2019 00:00:00
21,Central Geradora Eolielétrica,EOL,0,0.00,6,2011,24/07/2019 00:00:00
22,Central Geradora Eolielétrica,EOL,0,0.00,6,2013,24/07/2019 00:00:00
23,Central Geradora Eolielétrica,EOL,3,10.50,6,2014,24/07/2019 00:00:00
24,Central Geradora Eolielétrica,EOL,6,12.30,6,2015,24/07/2019 00:00:00
25,Central Geradora Eolielétrica,EOL,3,4.90,6,2016,24/07/2019 00:00:00
26,Central Geradora Eolielétrica,EOL,3,14.10,6,2017,24/07/2019 00:00:00
27,Central Geradora Eolielétrica,EOL,3,8.80,6,2018,24/07/2019 00:00:00
28,Central Geradora Eolielétrica,EOL,0,0.00,6,2019,24/07/2019 00:00:00
29,Central Geradora Eolielétrica,EOL,0,0.00,9,2012,24/07/2019 00:00:00
30,Central Geradora Eolielétrica,EOL,4,8.40,9,2013,24/07/2019 00:00:00
31,Central Geradora Eolielétrica,EOL,1,6.60,9,2014,24/07/2019 00:00:00
32,Central Geradora Eolielétrica,EOL,7,21.10,9,2015,24/07/2019 00:00:00
33,Central Geradora Eolielétrica,EOL,1,24.00,9,2016,24/07/2019 00:00:00
34,Central Geradora Eolielétrica,EOL,1,100.00,9,2017,24/07/2019 00:00:00
35,Central Geradora Eolielétrica,EOL,0,0.00,9,2018,24/07/2019 00:00:00
36,Central Geradora Eolielétrica,EOL,0,0.00,9,2019,24/07/2019 00:00:00
37,Central Geradora Hidrelétrica,CGH,0,0.00,12,2008,24/07/2019 00:00:00
38,Central Geradora Hidrelétrica,CGH,0,0.00,12,2011,24/07/2019 00:00:00
39,Central Geradora Hidrelétrica,CGH,0,0.00,12,2012,24/07/2019 00:00:00
40,Central Geradora Hidrelétrica,CGH,0,0.00,12,2013,24/07/2019 00:00:00
41,Central Geradora Hidrelétrica,CGH,1,825.00,12,2014,24/07/2019 00:00:00
42,Central Geradora Hidrelétrica,CGH,1,9.00,12,2015,24/07/2019 00:00:00
43,Central Geradora Hidrelétrica,CGH,4,1980.50,12,2016,24/07/2019 00:00:00
44,Central Geradora Hidrelétrica,CGH,18,25419.00,12,2017,24/07/2019 00:00:00
45,Central Geradora Hidrelétrica,CGH,9,9953.00,12,2018,24/07/2019 00:00:00
46,Central Geradora Hidrelétrica,CGH,0,0.00,3,2010,24/07/2019 00:00:00
47,Central Geradora Hidrelétrica,CGH,0,0.00,3,2012,24/07/2019 00:00:00
48,Central Geradora Hidrelétrica,CGH,0,0.00,3,2013,24/07/2019 00:00:00
49,Central Geradora Hidrelétrica,CGH,0,0.00,3,2014,24/07/2019 00:00:00
50,Central Geradora Hidrelétrica,CGH,0,0.00,3,2015,24/07/2019 00:00:00
51,Central Geradora Hidrelétrica,CGH,0,0.00,3,2016,24/07/2019 00:00:00
52,Central Geradora Hidrelétrica,CGH,5,6199.20,3,2017,24/07/2019 00:00:00
53,Central Geradora Hidrelétrica,CGH,10,4940.70,3,2018,24/07/2019 00:00:00
54,Central Geradora Hidrelétrica,CGH,16,21125.52,3,2019,24/07/2019 00:00:00
55,Central Geradora Hidrelétrica,CGH,0,0.00,6,2007,24/07/2019 00:00:00
56,Central Geradora Hidrelétrica,CGH,0,0.00,6,2009,24/07/2019 00:00:00
57,Central Geradora Hidrelétrica,CGH,0,0.00,6,2011,24/07/2019 00:00:00
58,Central Geradora Hidrelétrica,CGH,0,0.00,6,2013,24/07/2019 00:00:00
59,Central Geradora Hidrelétrica,CGH,0,0.00,6,2014,24/07/2019 00:00:00
60,Central Geradora Hidrelétrica,CGH,0,0.00,6,2015,24/07/2019 00:00:00
61,Central Geradora Hidrelétrica,CGH,4,1716.00,6,2016,24/07/2019 00:00:00
62,Central Geradora Hidrelétrica,CGH,4,3650.00,6,2017,24/07/2019 00:00:00
63,Central Geradora Hidrelétrica,CGH,5,2074.08,6,2018,24/07/2019 00:00:00
64,Central Geradora Hidrelétrica,CGH,6,2820.00,6,2019,24/07/2019 00:00:00
65,Central Geradora Hidrelétrica,CGH,0,0.00,9,2012,24/07/2019 00:00:00
66,Central Geradora Hidrelétrica,CGH,0,0.00,9,2013,24/07/2019 00:00:00
67,Central Geradora Hidrelétrica,CGH,0,0.00,9,2014,24/07/2019 00:00:00
68,Central Geradora Hidrelétrica,CGH,0,0.00,9,2015,24/07/2019 00:00:00
69,Central Geradora Hidrelétrica,CGH,2,950.00,9,2016,24/07/2019 00:00:00
70,Central Geradora Hidrelétrica,CGH,4,2485.00,9,2017,24/07/2019 00:00:00
71,Central Geradora Hidrelétrica,CGH,3,3595.60,9,2018,24/07/2019 00:00:00
72,Central Geradora Hidrelétrica,CGH,0,0.00,9,2019,24/07/2019 00:00:00
73,Central Geradora Solar Fotovoltaica,UFV,1,25.00,12,2008,24/07/2019 00:00:00
74,Central Geradora Solar Fotovoltaica,UFV,1,5.00,12,2011,24/07/2019 00:00:00
75,Central Geradora Solar Fotovoltaica,UFV,2,9.44,12,2012,24/07/2019 00:00:00
76,Central Geradora Solar Fotovoltaica,UFV,27,1139.12,12,2013,24/07/2019 00:00:00
77,Central Geradora Solar Fotovoltaica,UFV,110,553.42,12,2014,24/07/2019 00:00:00
78,Central Geradora Solar Fotovoltaica,UFV,642,4115.85,12,2015,24/07/2019 00:00:00
79,Central Geradora Solar Fotovoltaica,UFV,1926,22177.94,12,2016,24/07/2019 00:00:00
